,Name,City,Country,IATA,ICAO
205,Blida Airport,Blida,Algeria,QLD,DAAB
206,Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD
207,Soummam Airport,Bejaja,Algeria,BJA,DAAE
208,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG
209,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ
210,Boufarik Airport,Boufarik,Algeria,\N,DAAK
211,Reggane Airport,Reggan,Algeria,\N,DAAN
212,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP
213,Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ
214,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT
215,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV
216,Mecheria Airport,Mecheria,Algeria,MZW,DAAY
217,Relizane Airport,Relizane,Algeria,\N,DAAZ
218,Rabah Bitat Airport,Annaba,Algeria,AAE,DABB
219,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC
220,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS
221,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH
222,Bou Chekif Airport,Tiaret,Algeria,TID,DAOB
223,Bou Sfer Airport,Bou Sfer,Algeria,\N,DAOE
224,Tindouf Airport,Tindouf,Algeria,TIN,DAOF
225,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI
226,Tafaraoui Airport,Oran,Algeria,TAF,DAOL
227,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON
228,Es Senia Airport,Oran,Algeria,ORN,DAOO
229,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS
230,Ghriss Airport,Ghriss,Algeria,MUW,DAOV
231,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA
232,Biskra Airport,Biskra,Algeria,BSK,DAUB
233,El Golea Airport,El Golea,Algeria,ELG,DAUE
234,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG
235,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH
236,In Salah Airport,In Salah,Algeria,INZ,DAUI
237,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK
238,Laghouat Airport,Laghouat,Algeria,LOO,DAUL
239,Timimoun Airport,Timimoun,Algeria,TMX,DAUT
240,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU
241,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ
242,Cadjehoun Airport,Cotonou,Benin,COO,DBBB
243,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD
244,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO
245,Kotoka International Airport,Accra,Ghana,ACC,DGAA
246,Tamale Airport,Tamale,Ghana,TML,DGLE
247,Wa Airport,Wa,Ghana,\N,DGLW
248,Sunyani Airport,Sunyani,Ghana,NYI,DGSN
249,Takoradi Airport,Takoradi,Ghana,TKD,DGTK
250,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP
251,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK
252,Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL
253,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO
254,Man Airport,Man,Cote d'Ivoire,MJC,DIMN
255,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP
256,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO
257,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA
258,Akure Airport,Akure,Nigeria,AKR,DNAK
259,Benin Airport,Benin,Nigeria,BNI,DNBE
260,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA
261,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN
262,Gusau Airport,Gusau,Nigeria,\N,DNGU
263,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB
264,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL
265,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO
266,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA
267,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN
268,Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA
269,Makurdi Airport,Makurdi,Nigeria,MDI,DNMK
270,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM
271,Minna Airport,Minna,Nigeria,MXJ,DNMN
272,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO
273,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO
274,Yola Airport,Yola,Nigeria,YOL,DNYO
275,Zaria Airport,Zaria,Nigeria,ZAR,DNZA
276,Maradi Airport,Maradi,Niger,MFQ,DRRM
277,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN
278,Tahoua Airport,Tahoua,Niger,THZ,DRRT
279,Mano Dayak International Airport,Agadez,Niger,AJY,DRZA
280,Dirkou Airport,Dirkou,Niger,\N,DRZD
281,Diffa Airport,Diffa,Niger,\N,DRZF
282,Zinder Airport,Zinder,Niger,ZND,DRZR
283,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB
284,Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA
285,Sidi Ahmed Air Base,Bizerte,Tunisia,\N,DTTB
286,Remada Air Base,Remada,Tunisia,\N,DTTD
287,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF
288,Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG
289,Borj El Amri Airport,Bordj El Amri,Tunisia,\N,DTTI
