,Name,City,Country,IATA,ICAO
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF
9,Thule Air Base,Thule,Greenland,THU,BGTL
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM
21,Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,CYAV
22,Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW
23,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY
24,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ
25,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB
26,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC
27,CFB Bagotville,Bagotville,Canada,YBG,CYBG
28,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK
29,Campbell River Airport,Campbell River,Canada,YBL,CYBL
30,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR
31,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB
32,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD
33,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG
34,Miramichi Airport,Chatham,Canada,YCH,CYCH
35,Charlo Airport,Charlo,Canada,YCL,CYCL
36,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO
37,Coronation Airport,Coronation,Canada,YCT,CYCT
38,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW
39,Clyde River Airport,Clyde River,Canada,YCY,CYCY
40,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS
41,Dawson City Airport,Dawson,Canada,YDA,CYDA
42,Burwash Airport,Burwash,Canada,YDB,CYDB
43,Princeton Airport,Princeton,Canada,\N,CYDC
44,Deer Lake Airport,Deer Lake,Canada,YDF,CYDF
45,Dease Lake Airport,Dease Lake,Canada,YDL,CYDL
46,Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN
47,Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ
48,Edmonton International Airport,Edmonton,Canada,YEG,CYEG
49,Arviat Airport,Eskimo Point,Canada,YEK,CYEK
50,Estevan Airport,Estevan,Canada,YEN,CYEN
51,Edson Airport,Edson,Canada,YET,CYET
52,Eureka Airport,Eureka,Canada,YEU,CYEU
53,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV
54,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB
55,Fredericton Airport,Fredericton,Canada,YFC,CYFC
56,Forestville Airport,Forestville,Canada,YFE,CYFE
57,Flin Flon Airport,Flin Flon,Canada,YFO,CYFO
58,Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR
59,Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS
60,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK
61,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL
62,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP
63,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ
64,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR
65,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB
66,Dryden Regional Airport,Dryden,Canada,YHD,CYHD
67,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI
68,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK
69,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM
70,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU
71,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY
72,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ
73,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB
74,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO
75,St Jean Airport,St. Jean,Canada,YJN,CYJN
76,Stephenville Airport,Stephenville,Canada,YJT,CYJT
77,Kamloops Airport,Kamloops,Canada,YKA,CYKA
78,Waterloo Airport,Waterloo,Canada,YKF,CYKF
79,Schefferville Airport,Schefferville,Canada,YKL,CYKL
80,Kindersley Airport,Kindersley,Canada,YKY,CYKY
81,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ
82,Chapleau Airport,Chapleau,Canada,YLD,CYLD
83,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ
84,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL
85,Alert Airport,Alert,Canada,YLT,CYLT
86,Kelowna International Airport,Kelowna,Canada,YLW,CYLW
87,Mayo Airport,Mayo,Canada,YMA,CYMA
88,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ
89,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM
90,Moosonee Airport,Moosonee,Canada,YMO,CYMO
91,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW
92,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX
93,Natashquan Airport,Natashquan,Canada,YNA,CYNA
94,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND
95,Matagami Airport,Matagami,Canada,YNM,CYNM
96,Old Crow Airport,Old Crow,Canada,YOC,CYOC
97,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD
98,High Level Airport,High Level,Canada,YOJ,CYOJ
99,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW
100,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA
101,Peace River Airport,Peace River,Canada,YPE,CYPE
102,Southport Airport,Portage-la-prairie,Canada,YPG,CYPG
103,Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK
104,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL
105,Port Menier Airport,Port Menier,Canada,YPN,CYPN
106,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ
107,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR
108,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY
109,Muskoka Airport,Muskoka,Canada,YQA,CYQA
110,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB
111,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF
112,Windsor Airport,Windsor,Canada,YQG,CYQG
113,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH
114,Kenora Airport,Kenora,Canada,YQK,CYQK
115,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL
116,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM
117,Comox Airport,Comox,Canada,YQQ,CYQQ
118,Regina International Airport,Regina,Canada,YQR,CYQR
119,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT
120,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU
121,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV
122,North Battleford Airport,North Battleford,Canada,YQW,CYQW
123,Gander International Airport,Gander,Canada,YQX,CYQX
124,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY
125,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ
126,Resolute Bay Airport,Resolute,Canada,YRB,CYRB
127,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI
128,Roberval Airport,Roberval,Canada,YRJ,CYRJ
129,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM
130,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT
131,Sudbury Airport,Sudbury,Canada,YSB,CYSB
132,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC
133,Saint John Airport,St. John,Canada,YSJ,CYSJ
134,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM
135,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR
136,Summerside Airport,Summerside,Canada,YSU,CYSU
137,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY
138,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE
139,Thompson Airport,Thompson,Canada,YTH,CYTH
140,CFB Trenton,Trenton,Canada,YTR,CYTR
141,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS
142,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ
143,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB
144,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL
145,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT
146,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX
147,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY
148,La Ronge Airport,La Ronge,Canada,YVC,CYVC
149,Vermilion Airport,Vermillion,Canada,YVG,CYVG
150,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM
151,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO
152,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP
153,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ
154,Vancouver International Airport,Vancouver,Canada,YVR,CYVR
155,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT
156,Wiarton Airport,Wiarton,Canada,YVV,CYVV
157,Petawawa Airport,Petawawa,Canada,YWA,CYWA
158,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG
159,Wabush Airport,Wabush,Canada,YWK,CYWK
160,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL
161,Wrigley Airport,Wrigley,Canada,YWY,CYWY
162,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC
163,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD
164,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE
165,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH
166,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ
167,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL
168,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP
169,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR
170,Prince George Airport,Prince George,Canada,YXS,CYXS
171,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT
