,Name,City,Country,IATA,ICAO
875,Diego Garcia Naval Support Facility,Diego Garcia Island,British Indian Ocean Territory,NKW,FJDG
1636,Güvercinlik Airport,Ankara,Turkey,\N,LTAB
1637,Esenboğa International Airport,Ankara,Turkey,ESB,LTAC
1638,Etimesgut Air Base,Ankara,Turkey,ANK,LTAD
1639,Akıncı Air Base,Ankara,Turkey,\N,LTAE
1640,Adana Airport,Adana,Turkey,ADA,LTAF
1641,İncirlik Air Base,Adana,Turkey,UAB,LTAG
1642,Afyon Airport,Afyon,Turkey,AFY,LTAH
1643,Antalya International Airport,Antalya,Turkey,AYT,LTAI
1644,Gaziantep International Airport,Gaziantep,Turkey,GZT,LTAJ
1645,İskenderun Airport,Iskenderun,Turkey,\N,LTAK
1646,Konya Airport,Konya,Turkey,KYA,LTAN
1647,Malatya Tulga Airport,Malatya,Turkey,\N,LTAO
1648,Amasya Merzifon Airport,Merzifon,Turkey,MZH,LTAP
1649,Sivas Nuri Demirağ Airport,Sivas,Turkey,VAS,LTAR
1650,Malatya Erhaç Airport,Malatya,Turkey,MLX,LTAT
1651,Kayseri Erkilet Airport,Kayseri,Turkey,ASR,LTAU
1652,Sivrihisar Airport,Sivrihisar,Turkey,\N,LTAV
1653,Tokat Airport,Tokat,Turkey,TJK,LTAW
1654,Çardak Airport,Denizli,Turkey,DNZ,LTAY
1655,Atatürk International Airport,Istanbul,Turkey,ISL,LTBA
1656,Balıkesir Merkez Airport,Balikesir,Turkey,BZI,LTBF
1657,Bandırma Airport,Bandirma,Turkey,BDM,LTBG
1658,Eskişehir Air Base,Eskisehir,Turkey,ESK,LTBI
1659,Adnan Menderes International Airport,Izmir,Turkey,ADB,LTBJ
1660,Gaziemir Airport,Izmir,Turkey,\N,LTBK
1661,Çiğli Airport,Izmir,Turkey,IGL,LTBL
1662,Isparta Airport,Isparta,Turkey,\N,LTBM
1663,Kütahya Airport,Kutahya,Turkey,\N,LTBN
1664,Yalova Airport,Yalova,Turkey,\N,LTBP
1665,Cengiz Topel Airport,Topel,Turkey,KCO,LTBQ
