,Name,Name2,Country,IATA,ICAO
10,Akureyri Airport,Akureyri,Iceland,AEY,BIAR
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG
12,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN
13,Húsavík Airport,Husavik,Iceland,HZK,BIHU
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS
15,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA
17,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM
296,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,EBAW
297,Beauvechain Air Base,Beauvechain,Belgium,\N,EBBE
298,Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,EBBL
299,Brussels Airport,Brussels,Belgium,BRU,EBBR
300,Jehonville Air Base,Bertrix,Belgium,\N,EBBX
301,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI
302,Chièvres Air Base,Chievres,Belgium,\N,EBCV
303,Koksijde Air Base,Koksijde,Belgium,\N,EBFN
304,Florennes Air Base,Florennes,Belgium,\N,EBFS
305,Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,EBKT
306,Liège Airport,Liege,Belgium,LGG,EBLG
307,Ostend-Bruges International Airport,Ostend,Belgium,OST,EBOS
308,Zutendaal Air Base,Zutendaal,Belgium,\N,EBSL
309,Brustem Airfield Sint Truiden,Sint-truiden,Belgium,\N,EBST
310,Saint Hubert Air Base,St.-hubert,Belgium,\N,EBSU
311,Ursel Air Base,Ursel,Belgium,\N,EBUL
312,Weelde Air Base,Weelde,Belgium,\N,EBWE
313,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,EBZR
314,Flugplatz Bautzen,Bautzen,Germany,\N,EDAB
315,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC
316,Dessau Airfield,Dessau,Germany,\N,EDAD
317,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,\N,EDAE
318,Großenhain Airport,Suhl,Germany,\N,EDAK
319,Merseburg Airport,Muehlhausen,Germany,\N,EDAM
320,Halle-Oppin Airport,Halle,Germany,\N,EDAQ
321,Riesa-Göhlis Airport,Riesa,Germany,IES,EDAU
