,Name,City,Country,IATA,ICAO
1459,Amendola Air Base,Amendola,Italy,\N,LIBA
1460,Crotone Airport,Crotone,Italy,CRV,LIBC
1461,Bari Karol Wojtyła Airport,Bari,Italy,BRI,LIBD
1462,"Foggia ""Gino Lisa"" Airport",Foggia,Italy,FOG,LIBF
1463,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Grottaglie,Italy,TAR,LIBG
1464,Lecce Galatina Air Base,Lecce,Italy,LCC,LIBN
1465,Pescara International Airport,Pescara,Italy,PSR,LIBP
1466,Brindisi – Salento Airport,Brindisi,Italy,BDS,LIBR
1467,Gioia Del Colle Air Base,Gioia Del Colle,Italy,\N,LIBV
1468,Lamezia Terme Airport,Lamezia,Italy,SUF,LICA
1469,Catania-Fontanarossa Airport,Catania,Italy,CTA,LICC
1470,Lampedusa Airport,Lampedusa,Italy,LMP,LICD
1471,Pantelleria Airport,Pantelleria,Italy,PNL,LICG
1472,Falcone–Borsellino Airport,Palermo,Italy,PMO,LICJ
1473,Palermo-Boccadifalco Airport,Palermo,Italy,\N,LICP
1474,Reggio Calabria Airport,Reggio Calabria,Italy,REG,LICR
1475,Vincenzo Florio Airport Trapani-Birgi,Trapani,Italy,TPS,LICT
1476,Sigonella Navy Air Base,Sigonella,Italy,NSY,LICZ
1477,Alghero-Fertilia Airport,Alghero,Italy,AHO,LIEA
1478,Decimomannu Air Base,Decimomannu,Italy,DCI,LIED
1479,Cagliari Elmas Airport,Cagliari,Italy,CAG,LIEE
1480,Olbia Costa Smeralda Airport,Olbia,Italy,OLB,LIEO
1481,Tortolì Airport,Tortoli,Italy,TTB,LIET
1482,Torino-Aeritalia Airport,Turin,Italy,\N,LIMA
1483,Milano-Bresso Airfield,Milano,Italy,\N,LIMB
1484,Malpensa International Airport,Milano,Italy,MXP,LIMC
1485,Il Caravaggio International Airport,Bergamo,Italy,BGY,LIME
1486,Turin Airport,Torino,Italy,TRN,LIMF
1487,Villanova D'Albenga International Airport,Albenga,Italy,ALL,LIMG
1488,Genoa Cristoforo Colombo Airport,Genoa,Italy,GOA,LIMJ
1489,Milano Linate Airport,Milan,Italy,LIN,LIML
1490,Cameri Air Base [MIL],Cameri,Italy,\N,LIMN
1491,Parma Airport,Parma,Italy,PMF,LIMP
1492,Piacenza San Damiano Air Base,Piacenza,Italy,\N,LIMS
1493,Cuneo International Airport,Cuneo,Italy,CUF,LIMZ
1494,Aviano Air Base,Aviano,Italy,AVB,LIPA
1495,Bolzano Airport,Bolzano,Italy,BZO,LIPB
1496,Cervia Air Base,Cervia,Italy,\N,LIPC
1497,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,LIPE
1498,Treviso-Sant'Angelo Airport,Treviso,Italy,TSF,LIPH
1499,Rivolto Air Base,Rivolto,Italy,\N,LIPI
1500,Forlì Airport,Forli,Italy,FRL,LIPK
1501,Ghedi Air Base,Ghedi,Italy,\N,LIPL
1502,Verona-Boscomantico Airport,Verona,Italy,\N,LIPN
1503,Brescia Airport,Brescia,Italy,VBS,LIPO
1504,Trieste–Friuli Venezia Giulia Airport,Ronchi De Legionari,Italy,TRS,LIPQ
1505,Federico Fellini International Airport,Rimini,Italy,RMI,LIPR
1506,Istrana Air Base,Treviso,Italy,\N,LIPS
1507,Vicenza Airport,Vicenza,Italy,VIC,LIPT
1508,Padova Airport,Padova,Italy,QPA,LIPU
1509,Verona Villafranca Airport,Villafranca,Italy,VRN,LIPX
1510,Venice Marco Polo Airport,Venice,Italy,VCE,LIPZ
1511,Siena-Ampugnano Airport,Siena,Italy,SAY,LIQS
1512,Ciampino–G. B. Pastine International Airport,Rome,Italy,CIA,LIRA
1513,Pratica Di Mare Air Base,Pratica Di Mare,Italy,\N,LIRE
1514,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,LIRF
