,Name,City,Country,IATA,ICAO
1573,Alverca Air Base,Alverca,Portugal,AVR,LPAR
1574,Santa Maria Airport,Santa Maria (island),Portugal,SMA,LPAZ
1575,Bragança Airport,Braganca,Portugal,BGC,LPBG
1576,Beja Airport / Airbase,Beja (madeira),Portugal,BYJ,LPBJ
1577,Braga Municipal Aerodrome,Braga,Portugal,BGZ,LPBR
1578,Aerodromo Municipal de Coimbra,Coimba,Portugal,\N,LPCO
1579,Cascais Airport,Cascais,Portugal,CAT,LPCS
1580,Coimbra Hospital Covões Heliport,Covilha,Portugal,\N,LPCV
1581,Évora Airport,Evora,Portugal,\N,LPEV
1582,Flores Airport,Flores,Portugal,FLW,LPFL
1583,Faro Airport,Faro,Portugal,FAO,LPFR
1584,Graciosa Airport,Graciosa Island,Portugal,GRW,LPGR
1585,Horta Airport,Horta,Portugal,HOR,LPHR
1586,Lajes Airport,Lajes (terceira Island),Portugal,TER,LPLA
1587,Monte Real Air Base,Monte Real,Portugal,QLR,LPMR
1588,Montijo Air Base,Montijo,Portugal,\N,LPMT
1589,Ovar Air Base,Ovar,Portugal,\N,LPOV
1590,João Paulo II Airport,Ponta Delgada,Portugal,PDL,LPPD
1591,Pico Airport,Pico,Portugal,PIX,LPPI
1592,Portimão Airport,Portimao,Portugal,PRM,LPPM
1593,Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,LPPR
1594,Porto Santo Airport,Porto Santo,Portugal,PXO,LPPS
1595,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,LPPT
1596,São Jorge Airport,Sao Jorge Island,Portugal,SJZ,LPSJ
1597,Sintra Air Base,Sintra,Portugal,\N,LPST
1598,Tancos Airbase,Tancos,Portugal,\N,LPTN
1599,Vila Real Airport,Vila Real,Portugal,VRL,LPVR
1600,Aerodromo Goncalves Lobato (Viseu Airport),Viseu,Portugal,VSE,LPVZ
1684,Gibraltar Airport,Gibraltar,Gibraltar,GIB,LXGB
3868,Madeira Airport,Funchal,Portugal,FNC,LPMA
4482,Corvo Airport,Corvo,Portugal,CVU,LPCR
5655,São Jacinto Airport,Aveiro,Portugal,\N,LPAV
6776,Ota Air Base,Ota,Portugal,\N,LPOT
7638,Aerodromo de Castelo Branco,Castelo Branco,Portugal,\N,LPCB
7639,Ponte de Sor Airport,Ponte de Sôr,Portugal,\N,LPSO
7640,Vilar de Luz Airfield,Maia,Portugal,\N,LPVL
